id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Battery,Voltage,Current,Date,Method
3043,151.228410041021,-33.9317149817568,0,0,0,0,83,16482,-848,"2016-08-17 14:48:59","max loop slow speed test2"
3044,151.228410135201,-33.9317148979683,0,0,0,0,83,16483,-828,"2016-08-17 14:49:00","max loop slow speed test2"
3045,151.228410148981,-33.9317149001331,0,0,0,0,83,16483,-828,"2016-08-17 14:49:01","max loop slow speed test2"
3046,151.228410246154,-33.9317147887004,0,0,0,0,83,16482,-834,"2016-08-17 14:49:02","max loop slow speed test2"
3047,151.228410238546,-33.9317146854337,0,0,0,0,83,16484,-823,"2016-08-17 14:49:03","max loop slow speed test2"
3048,151.228410368583,-33.9317144519573,0,0,0,0,83,16474,-966,"2016-08-17 14:49:04","max loop slow speed test2"
3049,151.228410392157,-33.9317129937714,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,83,16387,-2407,"2016-08-17 14:49:05","max loop slow speed test2"
3050,151.228409047132,-33.9317111365204,1,0,0,0,83,16163,-3599,"2016-08-17 14:49:06","max loop slow speed test2"
3051,151.228407959203,-33.9317106535456,1.89999997615814,0,0,0,83,15921,-10700,"2016-08-17 14:49:07","max loop slow speed test2"
3052,151.228407410129,-33.9317105301303,4.5,0,0,0,83,15978,-10920,"2016-08-17 14:49:08","max loop slow speed test2"
3053,151.228407893902,-33.931710952179,7.59999990463257,0,0,0,83,15721,-12628,"2016-08-17 14:49:09","max loop slow speed test2"
3054,151.228406690165,-33.9317113703635,10.1999998092651,0,0,0,83,15655,-13684,"2016-08-17 14:49:10","max loop slow speed test2"
3055,151.228404599786,-33.93171186659,10.6999998092651,0,0,0,83,15733,-11645,"2016-08-17 14:49:11","max loop slow speed test2"
3056,151.228401135394,-33.9317132814708,10.6000003814697,0,0,0,83,15927,-8220,"2016-08-17 14:49:12","max loop slow speed test2"
3057,151.228402614475,-33.9317130851272,10.5,-0.100000001490116,-0.100000001490116,-0.100000001490116,83,15805,-9942,"2016-08-17 14:49:13","max loop slow speed test2"
3058,151.228404556895,-33.9317128072184,10.3999996185303,0,0,0,83,15805,-9942,"2016-08-17 14:49:14","max loop slow speed test2"
3059,151.228404403826,-33.9317110216185,10.3000001907349,0.400000005960464,0.400000005960464,0.400000005960464,83,15785,-10530,"2016-08-17 14:49:15","max loop slow speed test2"
3060,151.228408236955,-33.9316964172967,10.3000001907349,2.40000009536743,2.40000009536743,2.40000009536743,83,15776,-10232,"2016-08-17 14:49:16","max loop slow speed test2"
3061,151.228419442292,-33.9316669116768,10.1999998092651,3.09999990463257,3.09999990463257,3.09999990463257,83,15766,-10505,"2016-08-17 14:49:17","max loop slow speed test2"
3062,151.228426652267,-33.9316383585306,10.1999998092651,2.79999995231628,2.79999995231628,2.79999995231628,83,15732,-10839,"2016-08-17 14:49:18","max loop slow speed test2"
3063,151.228433205485,-33.931612869347,10.3000001907349,2.79999995231628,2.79999995231628,2.79999995231628,83,15732,-10839,"2016-08-17 14:49:19","max loop slow speed test2"
3064,151.228440920952,-33.9315871573732,10.3000001907349,2.90000009536743,2.90000009536743,2.90000009536743,83,15782,-9299,"2016-08-17 14:49:20","max loop slow speed test2"
3065,151.228449473023,-33.9315604388595,10.3000001907349,2.90000009536743,2.90000009536743,2.90000009536743,83,15752,-9885,"2016-08-17 14:49:21","max loop slow speed test2"
3066,151.228458043096,-33.9315338217283,10.3999996185303,2.90000009536743,2.90000009536743,2.90000009536743,83,15790,-9066,"2016-08-17 14:49:22","max loop slow speed test2"
3067,151.228465280209,-33.9315071955261,10.3000001907349,2.90000009536743,2.90000009536743,2.90000009536743,83,15777,-9091,"2016-08-17 14:49:23","max loop slow speed test2"
3068,151.228471569771,-33.9314802785404,10.3999996185303,3,3,3,83,15769,-9325,"2016-08-17 14:49:24","max loop slow speed test2"
3069,151.228478181883,-33.9314532928536,10.3000001907349,2.79999995231628,2.79999995231628,2.79999995231628,83,15767,-9308,"2016-08-17 14:49:25","max loop slow speed test2"
3070,151.228485312924,-33.9314268608885,10.1999998092651,2.79999995231628,2.79999995231628,2.79999995231628,83,15761,-9460,"2016-08-17 14:49:26","max loop slow speed test2"
3071,151.228492988794,-33.9314002160883,10.3000001907349,2.90000009536743,2.90000009536743,2.90000009536743,83,15763,-9158,"2016-08-17 14:49:27","max loop slow speed test2"
3072,151.228500097307,-33.931373166575,10.3000001907349,2.79999995231628,2.79999995231628,2.79999995231628,83,15763,-9158,"2016-08-17 14:49:28","max loop slow speed test2"
3073,151.228507953338,-33.9313473312892,10.3000001907349,2.79999995231628,2.79999995231628,2.79999995231628,83,15779,-8846,"2016-08-17 14:49:29","max loop slow speed test2"
3074,151.22851603396,-33.9313217783722,10.3000001907349,2.90000009536743,2.90000009536743,2.90000009536743,83,15779,-8807,"2016-08-17 14:49:30","max loop slow speed test2"
3075,151.228523803571,-33.9312955312948,10.1999998092651,2.79999995231628,2.79999995231628,2.79999995231628,83,15750,-9315,"2016-08-17 14:49:31","max loop slow speed test2"
3076,151.22853066069,-33.9312688498867,10.1999998092651,2.90000009536743,2.90000009536743,2.90000009536743,83,15778,-9060,"2016-08-17 14:49:32","max loop slow speed test2"
3077,151.22853882215,-33.9312418142668,10.1999998092651,2.90000009536743,2.90000009536743,2.90000009536743,83,15770,-8617,"2016-08-17 14:49:33","max loop slow speed test2"
3078,151.228546790008,-33.9312150408118,10.1999998092651,2.79999995231628,2.79999995231628,2.79999995231628,83,15753,-8889,"2016-08-17 14:49:34","max loop slow speed test2"
3079,151.228553964003,-33.9311892800442,10.1000003814697,2.70000004768372,2.70000004768372,2.70000004768372,83,15726,-9330,"2016-08-17 14:49:35","max loop slow speed test2"
3080,151.228561995123,-33.9311641860924,10.1000003814697,2.79999995231628,2.79999995231628,2.79999995231628,83,15718,-9513,"2016-08-17 14:49:36","max loop slow speed test2"
3081,151.228569657616,-33.9311376004945,10.1000003814697,2.90000009536743,2.90000009536743,2.90000009536743,83,15733,-9086,"2016-08-17 14:49:37","max loop slow speed test2"
3082,151.228576592953,-33.931110473457,10.1000003814697,2.79999995231628,2.79999995231628,2.79999995231628,83,15765,-8498,"2016-08-17 14:49:38","max loop slow speed test2"
3083,151.228584340138,-33.9310851439834,10,2.70000004768372,2.70000004768372,2.70000004768372,83,15759,-8900,"2016-08-17 14:49:39","max loop slow speed test2"
3084,151.228592221841,-33.9310596416494,10.1000003814697,2.90000009536743,2.90000009536743,2.90000009536743,83,15766,-8544,"2016-08-17 14:49:40","max loop slow speed test2"
3085,151.228599713414,-33.93103229791,10,2.90000009536743,2.90000009536743,2.90000009536743,83,15766,-8544,"2016-08-17 14:49:41","max loop slow speed test2"
3086,151.228607226004,-33.9310064151898,10.1000003814697,2.90000009536743,2.90000009536743,2.90000009536743,83,15778,-7902,"2016-08-17 14:49:42","max loop slow speed test2"
3087,151.2286149954,-33.9309805300512,10,2.79999995231628,2.79999995231628,2.79999995231628,83,15754,-8815,"2016-08-17 14:49:43","max loop slow speed test2"
3088,151.22862209672,-33.9309545063279,10.1000003814697,2.90000009536743,2.90000009536743,2.90000009536743,83,15733,-9024,"2016-08-17 14:49:44","max loop slow speed test2"
3089,151.228631185665,-33.9309290466319,10,2.59999990463257,2.59999990463257,2.59999990463257,83,15732,-9058,"2016-08-17 14:49:45","max loop slow speed test2"
3090,151.228635100963,-33.9309172993316,10,0.5,0.5,0.5,83,15709,-9072,"2016-08-17 14:49:46","max loop slow speed test2"
3091,151.228638316532,-33.9309183188097,10.1999998092651,-0.200000002980232,-0.200000002980232,-0.200000002980232,83,15729,-9150,"2016-08-17 14:49:47","max loop slow speed test2"
3092,151.228643766199,-33.9309218689109,10.1000003814697,-0.400000005960464,-0.400000005960464,-0.400000005960464,83,15654,-10159,"2016-08-17 14:49:48","max loop slow speed test2"
3093,151.228641842789,-33.9309266581016,9.89999961853027,-0.300000011920929,-0.300000011920929,-0.300000011920929,83,15655,-10026,"2016-08-17 14:49:49","max loop slow speed test2"
