id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Battery,Voltage,Current,Date,Method
1613,151.22817737511,-33.9316800180157,0,0,0,0,0,0,0,"2016-08-16 11:52:06","high speed loop test"
1614,151.228177469294,-33.9316800109258,0,0,0,0,93,16903,-817,"2016-08-16 11:52:07","high speed loop test"
1615,151.228177597847,-33.9316801154114,0,0,0,0,93,16900,-884,"2016-08-16 11:52:08","high speed loop test"
1616,151.228177573878,-33.931680233113,0,0,0,0,93,16900,-884,"2016-08-16 11:52:09","high speed loop test"
1617,151.228177573505,-33.9316802293393,0,0,0,0,93,16894,-876,"2016-08-16 11:52:10","high speed loop test"
1618,151.228177570344,-33.931680126341,0,0,0,0,93,16902,-821,"2016-08-16 11:52:11","high speed loop test"
1619,151.228177592763,-33.9316801188377,0,0,0,0,93,16900,-876,"2016-08-16 11:52:12","high speed loop test"
1620,151.228177473201,-33.9316800380719,0,0,0,0,93,16896,-882,"2016-08-16 11:52:13","high speed loop test"
1621,151.228174028126,-33.9316807460294,0.200000002980232,0,0,0,93,16765,-2637,"2016-08-16 11:52:14","high speed loop test"
1622,151.228171028379,-33.9316813471328,0.800000011920929,-0.200000002980232,-0.200000002980232,-0.200000002980232,93,16270,-7226,"2016-08-16 11:52:15","high speed loop test"
1623,151.228168991115,-33.9316838801806,1.79999995231628,0,0,0,93,16107,-10165,"2016-08-16 11:52:16","high speed loop test"
1624,151.228169421211,-33.9316843569096,4,0,0,0,93,16047,-11491,"2016-08-16 11:52:17","high speed loop test"
1625,151.228170393534,-33.9316847573186,7.09999990463257,0,0,0,93,15837,-12532,"2016-08-16 11:52:18","high speed loop test"
1626,151.228170818396,-33.9316859782855,10,-0.100000001490116,-0.100000001490116,-0.100000001490116,93,15781,-13606,"2016-08-16 11:52:19","high speed loop test"
1627,151.228170895269,-33.9316864217714,10.6999998092651,0,0,0,93,15814,-12493,"2016-08-16 11:52:20","high speed loop test"
1628,151.228170447475,-33.9316887386909,10.6999998092651,-0.100000001490116,-0.100000001490116,-0.100000001490116,93,16139,-7352,"2016-08-16 11:52:21","high speed loop test"
1629,151.228169566489,-33.9316902157786,10.5,0.100000001490116,0.100000001490116,0.100000001490116,93,16070,-8734,"2016-08-16 11:52:22","high speed loop test"
1630,151.22817031801,-33.9316885091356,10.3000001907349,0.300000011920929,0.300000011920929,0.300000011920929,93,16070,-8734,"2016-08-16 11:52:23","high speed loop test"
1631,151.22817447215,-33.9316805983876,10.3000001907349,1.79999995231628,1.79999995231628,1.79999995231628,93,16030,-9411,"2016-08-16 11:52:24","high speed loop test"
1632,151.22818779602,-33.9316532578313,10.1999998092651,4,4,4,93,15984,-10005,"2016-08-16 11:52:25","high speed loop test"
1633,151.228205202513,-33.9316051220105,10.3999996185303,6,6,6,93,15918,-10498,"2016-08-16 11:52:26","high speed loop test"
1634,151.228219647416,-33.9315389591628,10.5,7.90000009536743,7.90000009536743,7.90000009536743,93,15908,-10553,"2016-08-16 11:52:27","high speed loop test"
1635,151.228241892972,-33.9314573695679,10.5,9.60000038146973,9.60000038146973,9.60000038146973,93,15960,-10071,"2016-08-16 11:52:28","high speed loop test"
1636,151.228273858204,-33.9313664095856,10.3999996185303,10.1000003814697,10.1000003814697,10.1000003814697,93,15857,-11480,"2016-08-16 11:52:29","high speed loop test"
1637,151.228302110973,-33.931273805052,10.1999998092651,9.89999961853027,9.89999961853027,9.89999961853027,93,15785,-12209,"2016-08-16 11:52:30","high speed loop test"
1638,151.228326767199,-33.9311855951234,10.1000003814697,9.5,9.5,9.5,93,15872,-11039,"2016-08-16 11:52:31","high speed loop test"
1639,151.228356304212,-33.9310921106362,9.89999961853027,9.60000038146973,9.60000038146973,9.60000038146973,93,16085,-7305,"2016-08-16 11:52:32","high speed loop test"
1640,151.228379873464,-33.931017397855,9.80000019073486,8.19999980926514,8.19999980926514,8.19999980926514,93,16102,-7616,"2016-08-16 11:52:33","high speed loop test"
1641,151.228391979338,-33.930958168904,9.69999980926514,4.69999980926514,4.69999980926514,4.69999980926514,93,16026,-8540,"2016-08-16 11:52:34","high speed loop test"
1642,151.228392171472,-33.9309354701519,9.69999980926514,1.20000004768372,1.20000004768372,1.20000004768372,92,16201,-5987,"2016-08-16 11:52:35","high speed loop test"
1643,151.22839428573,-33.9309373786834,9.89999961853027,0,0,0,92,16201,-5987,"2016-08-16 11:52:36","high speed loop test"
1644,151.22839722287,-33.9309390634038,10.1000003814697,0,0,0,92,15985,-8547,"2016-08-16 11:52:37","high speed loop test"
1645,151.22839904392,-33.9309396663537,10.1999998092651,-0.5,-0.5,-0.5,92,15930,-9616,"2016-08-16 11:52:38","high speed loop test"
1646,151.228400197299,-33.9309460385234,10.1999998092651,-0.400000005960464,-0.400000005960464,-0.400000005960464,92,15904,-9658,"2016-08-16 11:52:39","high speed loop test"
1647,151.228400568824,-33.9309499960565,10.1000003814697,-0.699999988079071,-0.699999988079071,-0.699999988079071,92,15874,-9901,"2016-08-16 11:52:40","high speed loop test"
1648,151.228395729566,-33.930965225384,9.89999961853027,-2.5,-2.5,-2.5,92,15882,-9995,"2016-08-16 11:52:41","high speed loop test"
1649,151.228384277148,-33.9309983237677,9.80000019073486,-4.5,-4.5,-4.5,92,15898,-9827,"2016-08-16 11:52:42","high speed loop test"
