id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Battery,Voltage,Current,Date,Method
1,151.228054439495,-33.9316929582489,0,0,0,0,0,0,0,"2016-08-15 14:31:57","High speed 10"
2,151.228054678064,-33.9316931504224,0,0,0,0,97,17104,-854,"2016-08-15 14:31:58","High speed 10"
3,151.228054692308,-33.9316925459422,0,0,0,0,97,17103,-862,"2016-08-15 14:31:59","High speed 10"
4,151.228055107726,-33.93169199588,0,0,0,0,97,17103,-862,"2016-08-15 14:32:00","High speed 10"
5,151.228055189708,-33.9316916114986,0,0,0,0,97,17104,-867,"2016-08-15 14:32:01","High speed 10"
6,151.228055398652,-33.9316912077517,0,0,0,0,97,17103,-857,"2016-08-15 14:32:02","High speed 10"
7,151.228053294587,-33.9316918546857,0.100000001490116,-0.200000002980232,-0.200000002980232,-0.200000002980232,97,17087,-1020,"2016-08-15 14:32:03","High speed 10"
8,151.228048065969,-33.9316934697134,0.600000023841858,-0.200000002980232,-0.200000002980232,-0.200000002980232,97,16897,-2525,"2016-08-15 14:32:04","High speed 10"
9,151.228046673386,-33.9316967342664,1.60000002384186,-0.200000002980232,-0.200000002980232,-0.200000002980232,97,16663,-4804,"2016-08-15 14:32:05","High speed 10"
10,151.22804654813,-33.9316975542513,3.40000009536743,0,0,0,97,16251,-10349,"2016-08-15 14:32:06","High speed 10"
11,151.228047467626,-33.9316981602716,6.40000009536743,0,0,0,97,16108,-9751,"2016-08-15 14:32:07","High speed 10"
12,151.228047407647,-33.9316981964138,9.39999961853027,0,0,0,97,15868,-14201,"2016-08-15 14:32:08","High speed 10"
13,151.228046586759,-33.9316986456741,10.6000003814697,-0.100000001490116,-0.100000001490116,-0.100000001490116,97,15928,-12109,"2016-08-15 14:32:09","High speed 10"
14,151.22804175318,-33.9317003070595,10.5,0,0,0,97,16336,-7364,"2016-08-15 14:32:10","High speed 10"
15,151.228039112287,-33.931701813706,10.3000001907349,0,0,0,97,16229,-8571,"2016-08-15 14:32:11","High speed 10"
16,151.228042505739,-33.9317023361763,10.1999998092651,0.300000011920929,0.300000011920929,0.300000011920929,97,16172,-8889,"2016-08-15 14:32:12","High speed 10"
17,151.228047234593,-33.9316998589598,10.1000003814697,0.200000002980232,0.200000002980232,0.200000002980232,97,16172,-8889,"2016-08-15 14:32:13","High speed 10"
18,151.228050511964,-33.931690494435,10.1999998092651,1.79999995231628,1.79999995231628,1.79999995231628,97,16103,-9662,"2016-08-15 14:32:14","High speed 10"
