id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,DroneHeading,Battery,Voltage,Current,Date,Method,VelocitySolid
9658,151.226654646815,-33.9313374296826,0,0.0,0.0,0.0,-75.3,91,16701,-812,"2016-08-29 13:50:17","11 ms final",11
9659,151.226654751876,-33.9313373314375,0,0.0,0.0,0.0,-75.3,91,16701,-811,"2016-08-29 13:50:18","11 ms final",11
9660,151.226654644316,-33.9313371358247,0,0.0,0.0,0.0,-75.3,91,16701,-809,"2016-08-29 13:50:19","11 ms final",11
9661,151.22665454381,-33.9313369452402,0,0.0,0.0,0.0,-75.3,91,16702,-811,"2016-08-29 13:50:20","11 ms final",11
9662,151.226654556923,-33.9313368381916,0,0.0,0.0,0.0,-75.3,91,16702,-811,"2016-08-29 13:50:21","11 ms final",11
9663,151.226654361447,-33.9313368329423,0,0.0,0.0,0.0,-75.4,91,16701,-850,"2016-08-29 13:50:22","11 ms final",11
9664,151.226654273068,-33.9313367025194,0,0.0,0.0,0.0,-75.5,91,16688,-1263,"2016-08-29 13:50:23","11 ms final",11
9665,151.226655469125,-33.9313361627679,0.100000001490116,0.100000001490116,0.300000011920929,-0.400000005960464,-75.2,90,16641,-2484,"2016-08-29 13:50:24","11 ms final",11
9666,151.226658658208,-33.931335076139,0.699999988079071,0.0,0.0,-0.5,-75.2,90,16115,-8485,"2016-08-29 13:50:25","11 ms final",11
9667,151.226659678675,-33.9313361305793,1.70000004768372,0.0,0.100000001490116,-1.39999997615814,-75.5,90,15939,-10486,"2016-08-29 13:50:26","11 ms final",11
9668,151.226659873516,-33.931335837659,3.20000004768372,0.100000001490116,0.0,-2.40000009536743,-75.4,90,15782,-11945,"2016-08-29 13:50:27","11 ms final",11
9669,151.226659417225,-33.9313348668763,6.19999980926514,0.0,0.0,-3.0,-75.7,90,15782,-11945,"2016-08-29 13:50:28","11 ms final",11
9670,151.226660035393,-33.9313353356609,9,0.0,0.100000001490116,-2.90000009536743,-75.6,90,15782,-11945,"2016-08-29 13:50:29","11 ms final",11
9671,151.226660663447,-33.9313361036463,10.6999998092651,0.0,0.0,-0.300000011920929,-56.6,90,15632,-13874,"2016-08-29 13:50:30","11 ms final",11
9672,151.226661285024,-33.931336754844,10.8000001907349,0.0,0.100000001490116,0.0,41.2,90,15774,-12261,"2016-08-29 13:50:31","11 ms final",11
9673,151.226661533589,-33.9313341445195,10.8999996185303,0.0,0.200000002980232,0.100000001490116,98.9,90,15981,-7975,"2016-08-29 13:50:32","11 ms final",11
9674,151.22666323348,-33.9313316003275,10.6000003814697,-0.200000002980232,0.0,0.200000002980232,100.7,90,15854,-9828,"2016-08-29 13:50:33","11 ms final",11
9675,151.226662886617,-33.9313324231728,10.3000001907349,-0.300000011920929,-0.100000001490116,0.100000001490116,100.0,90,15836,-9544,"2016-08-29 13:50:34","11 ms final",11
9676,151.226661553305,-33.9313335395673,10.1999998092651,-0.200000002980232,0.0,0.0,100.1,90,15809,-9976,"2016-08-29 13:50:35","11 ms final",11
9677,151.226669613001,-33.9313341628181,10.1000003814697,-0.400000005960464,1.70000004768372,0.0,100.3,90,15796,-10076,"2016-08-29 13:50:36","11 ms final",11
9678,151.226701205327,-33.9313398870574,10.1000003814697,-0.899999976158142,3.70000004768372,-0.100000001490116,98.3,90,15726,-10327,"2016-08-29 13:50:37","11 ms final",11
9679,151.226754713866,-33.9313502086123,10.1999998092651,-1.20000004768372,5.59999990463257,0.0,99.9,90,15725,-10717,"2016-08-29 13:50:38","11 ms final",11
9680,151.226829874964,-33.9313638384176,10.1000003814697,-1.5,7.69999980926514,0.0,101.6,90,15720,-10542,"2016-08-29 13:50:39","11 ms final",11
9681,151.226927848128,-33.9313799034333,10.1000003814697,-1.79999995231628,9.69999980926514,0.0,100.1,90,15704,-10539,"2016-08-29 13:50:40","11 ms final",11
9682,151.227045476274,-33.9313984852495,10.3000001907349,-2.29999995231628,11.1999998092651,0.0,98.9,90,15704,-10539,"2016-08-29 13:50:41","11 ms final",11
9683,151.227168795566,-33.9314197438393,10.1999998092651,-2.20000004768372,11.1000003814697,0.0,99.8,90,15716,-10243,"2016-08-29 13:50:42","11 ms final",11
9684,151.227288859838,-33.9314378615686,10.1000003814697,-2.09999990463257,10.8999996185303,0.100000001490116,100.0,90,15802,-9629,"2016-08-29 13:50:43","11 ms final",11
9685,151.227406236873,-33.9314554064465,10.1999998092651,-2.09999990463257,10.8000001907349,0.0,100.6,90,15871,-8147,"2016-08-29 13:50:44","11 ms final",11
9686,151.227523301334,-33.9314741366052,10.1000003814697,-2.20000004768372,10.8000001907349,0.0,100.3,90,15842,-8211,"2016-08-29 13:50:45","11 ms final",11
9687,151.227641179386,-33.9314928925977,10.1000003814697,-2.09999990463257,10.8999996185303,0.0,100.8,90,15894,-8092,"2016-08-29 13:50:46","11 ms final",11
9688,151.227759037569,-33.9315112614327,10.1999998092651,-2.09999990463257,10.8000001907349,0.0,100.8,90,15881,-8147,"2016-08-29 13:50:47","11 ms final",11
9689,151.227875965821,-33.931529902416,10.1000003814697,-2.20000004768372,10.8000001907349,0.0,100.3,90,15891,-8064,"2016-08-29 13:50:48","11 ms final",11
9690,151.227993660999,-33.9315489185498,10.1999998092651,-2.09999990463257,10.8000001907349,0.0,100.5,90,15858,-8375,"2016-08-29 13:50:49","11 ms final",11
9691,151.228111661254,-33.931568053509,10.1000003814697,-2.20000004768372,10.8000001907349,0.0,100.4,90,15833,-9014,"2016-08-29 13:50:50","11 ms final",11
9692,151.228229155919,-33.9315865485535,10,-2.09999990463257,10.6999998092651,0.0,100.7,90,15846,-8448,"2016-08-29 13:50:51","11 ms final",11
9693,151.228346095313,-33.9316049211858,10,-2.09999990463257,10.6999998092651,0.0,100.5,90,15866,-8390,"2016-08-29 13:50:52","11 ms final",11
9694,151.2284636318,-33.9316243652086,10,-2.20000004768372,10.8000001907349,0.0,100.1,90,15819,-8651,"2016-08-29 13:50:53","11 ms final",11
9695,151.228580801608,-33.9316441886822,10,-2.20000004768372,10.8000001907349,0.0,100.5,90,15820,-8596,"2016-08-29 13:50:54","11 ms final",11
9696,151.22869818043,-33.9316637113803,10,-2.09999990463257,10.6999998092651,0.0,100.5,90,15820,-8596,"2016-08-29 13:50:55","11 ms final",11
9697,151.228814725609,-33.9316825149179,10,-2.09999990463257,10.6999998092651,0.0,100.4,90,15793,-9115,"2016-08-29 13:50:56","11 ms final",11
9698,151.228930871642,-33.9317009445298,9.89999961853027,-2.0,10.6999998092651,0.0,100.7,90,15794,-9040,"2016-08-29 13:50:57","11 ms final",11
9699,151.229034927614,-33.9317170783824,9.80000019073486,-1.5,8.10000038146973,-0.100000001490116,100.3,89,15786,-8886,"2016-08-29 13:50:58","11 ms final",11
9700,151.22910126,-33.9317248916207,9.69999980926514,-0.800000011920929,4.40000009536743,0.0,101.1,89,15926,-7124,"2016-08-29 13:50:59","11 ms final",11
9701,151.229128695919,-33.9317288041639,9.89999961853027,-0.400000005960464,1.79999995231628,0.100000001490116,100.6,89,15957,-6629,"2016-08-29 13:51:00","11 ms final",11
9702,151.22913368724,-33.9317319812658,9.89999961853027,-0.200000002980232,0.600000023841858,0.0,62.5,89,15784,-9518,"2016-08-29 13:51:01","11 ms final",11
9703,151.229134226427,-33.931733094119,9.80000019073486,0.0,0.0,0.0,-27.0,89,15638,-10811,"2016-08-29 13:51:02","11 ms final",11
9704,151.229128776322,-33.9317352008997,9.69999980926514,0.0,-0.5,0.0,-77.7,89,15677,-10455,"2016-08-29 13:51:03","11 ms final",11
9705,151.229120422137,-33.9317381499518,9.69999980926514,0.300000011920929,-0.400000005960464,0.0,-76.5,89,15647,-10247,"2016-08-29 13:51:04","11 ms final",11
9706,151.229117662945,-33.9317366471569,9.80000019073486,0.400000005960464,-0.100000001490116,0.0,-78.5,89,15660,-10429,"2016-08-29 13:51:05","11 ms final",11
9707,151.229117440246,-33.9317349271014,9.80000019073486,0.200000002980232,0.0,0.0,-79.3,89,15665,-10263,"2016-08-29 13:51:06","11 ms final",11
9708,151.229110099649,-33.9317332987869,9.89999961853027,0.5,-1.60000002384186,0.0,-78.5,89,15640,-10139,"2016-08-29 13:51:07","11 ms final",11
9709,151.229077114567,-33.9317272499728,9.80000019073486,1.0,-3.90000009536743,-0.100000001490116,-80.1,89,15640,-10139,"2016-08-29 13:51:08","11 ms final",11
9710,151.229019629376,-33.9317163894876,9.80000019073486,1.39999997615814,-6.0,-0.100000001490116,-79.8,89,15629,-10853,"2016-08-29 13:51:09","11 ms final",11
9711,151.228941751412,-33.9317012519456,10,1.70000004768372,-7.90000009536743,-0.100000001490116,-77.0,89,15605,-11043,"2016-08-29 13:51:10","11 ms final",11
9712,151.228841823492,-33.9316846354525,10.1000003814697,1.79999995231628,-9.80000019073486,0.0,-79.3,89,15604,-10881,"2016-08-29 13:51:11","11 ms final",11
9713,151.228727927571,-33.9316678025418,10.3000001907349,2.0,-10.3999996185303,0.100000001490116,-79.9,89,15628,-10425,"2016-08-29 13:51:12","11 ms final",11
9714,151.228611952394,-33.9316495386364,10.1999998092651,2.20000004768372,-10.6999998092651,0.0,-80.4,89,15598,-10870,"2016-08-29 13:51:13","11 ms final",11
9715,151.228494645851,-33.9316298923754,10.1999998092651,2.20000004768372,-10.8000001907349,0.100000001490116,-80.5,89,15686,-9504,"2016-08-29 13:51:14","11 ms final",11
9716,151.228377176593,-33.9316104909207,10.1999998092651,2.09999990463257,-10.6999998092651,0.200000002980232,-80.2,89,15701,-9477,"2016-08-29 13:51:15","11 ms final",11
9717,151.228260863495,-33.9315922833688,10.1000003814697,2.0,-10.6999998092651,0.200000002980232,-79.6,89,15725,-8665,"2016-08-29 13:51:16","11 ms final",11
9718,151.228144065247,-33.9315740761055,10.1000003814697,2.09999990463257,-10.8999996185303,0.0,-79.3,89,15624,-10196,"2016-08-29 13:51:17","11 ms final",11
9719,151.228025503483,-33.9315550906703,10.1000003814697,2.09999990463257,-10.8999996185303,0.0,-79.0,89,15656,-10006,"2016-08-29 13:51:18","11 ms final",11
9720,151.227907724536,-33.931536435218,10.1000003814697,2.0,-10.8000001907349,0.0,-79.3,89,15706,-8970,"2016-08-29 13:51:19","11 ms final",11
9721,151.227790969922,-33.9315179783718,10.1000003814697,2.0,-10.6999998092651,0.0,-79.2,88,15715,-9159,"2016-08-29 13:51:20","11 ms final",11
9722,151.227674152284,-33.9314991940056,10.1000003814697,2.0,-10.8000001907349,0.100000001490116,-79.0,88,15681,-9914,"2016-08-29 13:51:21","11 ms final",11
9723,151.227557113275,-33.931480283963,10.1000003814697,2.0,-10.6999998092651,0.0,-79.7,88,15681,-9914,"2016-08-29 13:51:22","11 ms final",11
9724,151.227440838145,-33.9314622810364,10.1000003814697,1.89999997615814,-10.6999998092651,0.100000001490116,-79.9,88,15648,-9834,"2016-08-29 13:51:23","11 ms final",11
9725,151.227325242218,-33.9314435481722,10.1000003814697,2.09999990463257,-10.6999998092651,0.100000001490116,-79.7,88,15641,-10154,"2016-08-29 13:51:24","11 ms final",11
9726,151.227209407273,-33.9314244330799,10,2.0,-10.6999998092651,0.200000002980232,-79.2,88,15622,-10131,"2016-08-29 13:51:25","11 ms final",11
9727,151.227094137422,-33.9314064756982,9.89999961853027,1.89999997615814,-10.6999998092651,-0.100000001490116,-78.6,88,15624,-10302,"2016-08-29 13:51:26","11 ms final",11
9728,151.226977910266,-33.931388758175,9.89999961853027,1.89999997615814,-10.8000001907349,-0.100000001490116,-79.2,88,15588,-11115,"2016-08-29 13:51:27","11 ms final",11
9729,151.226860889921,-33.9313709849409,9.89999961853027,2.0,-10.6999998092651,0.0,-78.5,88,15429,-12208,"2016-08-29 13:51:28","11 ms final",11
9730,151.226760080966,-33.9313536480179,9.89999961853027,1.5,-7.69999980926514,-0.100000001490116,-79.0,88,15488,-11637,"2016-08-29 13:51:29","11 ms final",11
9731,151.226705420936,-33.9313442074779,9.80000019073486,0.699999988079071,-4.40000009536743,0.0,-80.1,88,15642,-9752,"2016-08-29 13:51:30","11 ms final",11
9732,151.2266763963,-33.9313411333467,9.80000019073486,0.100000001490116,-1.39999997615814,0.0,-77.0,88,15803,-6862,"2016-08-29 13:51:31","11 ms final",11
9733,151.226672135392,-33.9313412470416,10,0.100000001490116,-0.600000023841858,0.0,-76.9,88,15712,-8668,"2016-08-29 13:51:32","11 ms final",11
9734,151.226668416883,-33.9313385813149,10,0.200000002980232,-0.400000005960464,0.0,-77.2,88,15608,-10086,"2016-08-29 13:51:33","11 ms final",11
