id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,DroneHeading,Battery,Voltage,Current,Date,Method,VelocitySolid
9810,151.226663178696,-33.9313608747469,0,0.0,0.0,0.0,-84.2,78,16185,-826,"2016-08-29 13:54:57","13 ms final",13
9811,151.226663067535,-33.931360759141,0,0.0,0.0,0.0,-84.2,78,16185,-826,"2016-08-29 13:54:58","13 ms final",13
9812,151.226663075733,-33.9313608667483,0,0.0,0.0,0.0,-84.2,78,16187,-828,"2016-08-29 13:54:59","13 ms final",13
9813,151.226663072384,-33.9313608694256,0,0.0,0.0,0.0,-84.2,78,16187,-826,"2016-08-29 13:55:00","13 ms final",13
9814,151.226663071573,-33.9313608943609,0,0.0,0.0,0.0,-84.2,78,16188,-839,"2016-08-29 13:55:01","13 ms final",13
9815,151.226663077697,-33.9313608919903,0,0.0,0.0,0.0,-84.2,77,16189,-828,"2016-08-29 13:55:02","13 ms final",13
9816,151.226663092986,-33.9313609006916,0,0.0,0.0,0.0,-84.3,77,16183,-991,"2016-08-29 13:55:03","13 ms final",13
9817,151.226665715242,-33.9313610511292,0.300000011920929,0.0,0.300000011920929,-0.5,-84.4,77,16116,-2545,"2016-08-29 13:55:04","13 ms final",13
9818,151.226668594396,-33.9313611961668,0.800000011920929,0.0,0.100000001490116,-0.5,-84.9,77,15822,-4343,"2016-08-29 13:55:05","13 ms final",13
9819,151.226670584021,-33.9313602578659,1.79999995231628,0.0,0.200000002980232,-1.29999995231628,-84.6,77,15675,-10251,"2016-08-29 13:55:06","13 ms final",13
9820,151.226672409668,-33.9313605171196,3.90000009536743,0.0,0.0,-2.79999995231628,-84.8,77,15645,-10975,"2016-08-29 13:55:07","13 ms final",13
9821,151.22667180058,-33.9313611508482,7,0.0,0.0,-3.09999990463257,-84.8,77,15490,-13058,"2016-08-29 13:55:08","13 ms final",13
9822,151.226672416019,-33.9313614665323,9.89999961853027,0.0,0.0,-2.0,-84.6,77,15368,-14711,"2016-08-29 13:55:09","13 ms final",13
9823,151.226672748091,-33.9313630942826,10.6999998092651,-0.200000002980232,0.0,-0.100000001490116,-128.2,77,15378,-13482,"2016-08-29 13:55:10","13 ms final",13
9824,151.226672573245,-33.9313655901615,10.8999996185303,-0.200000002980232,0.0,0.0,140.4,77,15378,-13482,"2016-08-29 13:55:11","13 ms final",13
9825,151.226675825726,-33.9313630406075,10.8999996185303,0.100000001490116,0.100000001490116,0.100000001490116,100.6,77,15663,-9117,"2016-08-29 13:55:12","13 ms final",13
9826,151.226675203313,-33.9313589396635,10.6000003814697,0.0,-0.100000001490116,0.200000002980232,100.7,77,15574,-9385,"2016-08-29 13:55:13","13 ms final",13
9827,151.226673283914,-33.9313583294521,10.3999996185303,-0.300000011920929,-0.100000001490116,0.100000001490116,99.2,77,15544,-9940,"2016-08-29 13:55:14","13 ms final",13
9828,151.226672646898,-33.9313593019516,10.3000001907349,-0.100000001490116,0.200000002980232,0.0,98.2,77,15540,-9546,"2016-08-29 13:55:15","13 ms final",13
9829,151.226685915868,-33.9313599355591,10.1999998092651,-0.300000011920929,2.20000004768372,0.0,97.7,77,15517,-9948,"2016-08-29 13:55:16","13 ms final",13
9830,151.226722928522,-33.9313659035455,10.1999998092651,-0.699999988079071,4.19999980926514,-0.100000001490116,98.6,77,15522,-10018,"2016-08-29 13:55:17","13 ms final",13
9831,151.226781335397,-33.9313746977378,10.1999998092651,-1.0,6.09999990463257,0.0,98.3,77,15466,-10884,"2016-08-29 13:55:18","13 ms final",13
9832,151.226861397163,-33.9313846803951,10.3000001907349,-1.29999995231628,8.19999980926514,0.0,96.9,77,15422,-11453,"2016-08-29 13:55:19","13 ms final",13
9833,151.226963207826,-33.9313991673772,10.3000001907349,-1.60000002384186,10.1999998092651,0.0,99.7,77,15397,-11656,"2016-08-29 13:55:20","13 ms final",13
9834,151.227085657424,-33.9314154575556,10.3999996185303,-1.79999995231628,11.8999996185303,0.0,97.7,77,15391,-11570,"2016-08-29 13:55:21","13 ms final",13
9835,151.22722328544,-33.9314328402316,10.5,-2.20000004768372,13.1000003814697,0.0,97.0,77,15375,-11604,"2016-08-29 13:55:22","13 ms final",13
9836,151.227369749912,-33.9314526829636,10.5,-2.09999990463257,13.5,0.0,97.7,77,15433,-10558,"2016-08-29 13:55:23","13 ms final",13
9837,151.227515903516,-33.9314701794388,10.3999996185303,-2.0,13.1999998092651,0.100000001490116,97.8,77,15429,-10327,"2016-08-29 13:55:24","13 ms final",13
9838,151.227657165553,-33.9314864378787,10.1999998092651,-2.09999990463257,12.8999996185303,0.100000001490116,98.5,77,15429,-10327,"2016-08-29 13:55:25","13 ms final",13
9839,151.227782119928,-33.9315033532009,10.1999998092651,-2.20000004768372,12.8000001907349,0.0,99.0,77,15525,-8668,"2016-08-29 13:55:26","13 ms final",13
9840,151.227934910495,-33.931523822838,10.1999998092651,-2.09999990463257,12.8999996185303,0.100000001490116,99.5,77,15512,-8800,"2016-08-29 13:55:27","13 ms final",13
9841,151.228060676937,-33.931540472827,10.1000003814697,-2.09999990463257,12.8999996185303,0.0,99.2,77,15463,-9742,"2016-08-29 13:55:28","13 ms final",13
9842,151.228214274837,-33.931560090134,10.1000003814697,-2.0,12.8999996185303,0.0,98.9,77,15428,-10166,"2016-08-29 13:55:29","13 ms final",13
9843,151.228353438045,-33.9315784692319,10,-2.0,12.8999996185303,0.0,99.5,77,15420,-10018,"2016-08-29 13:55:30","13 ms final",13
9844,151.228493909228,-33.9315962687264,9.89999961853027,-1.89999997615814,13.0,0.0,99.3,77,15437,-9806,"2016-08-29 13:55:31","13 ms final",13
9845,151.228634547868,-33.9316139768263,9.89999961853027,-1.89999997615814,13.0,0.0,99.1,77,15422,-10410,"2016-08-29 13:55:32","13 ms final",13
9846,151.228774502584,-33.9316308123318,10,-1.89999997615814,12.8999996185303,0.0,98.8,77,15424,-10229,"2016-08-29 13:55:33","13 ms final",13
9847,151.228913144071,-33.9316477185298,9.89999961853027,-1.79999995231628,12.1999998092651,-0.100000001490116,97.3,77,15422,-9831,"2016-08-29 13:55:34","13 ms final",13
9848,151.229027496519,-33.9316596086702,9.80000019073486,-1.10000002384186,8.80000019073486,0.0,98.3,77,15459,-9065,"2016-08-29 13:55:35","13 ms final",13
9849,151.229099872027,-33.9316655657866,9.80000019073486,-0.899999976158142,5.40000009536743,0.0,98.6,77,15474,-9042,"2016-08-29 13:55:36","13 ms final",13
